,Pendidikan,,,,,,,,,,,,,Pendidikan Dasar dan Anak Usia Dini,,,,,,,,,,,,,Pendidikan Menengah,,,,,,,,,,,,,Pendidikan Tinggi,,,,,,,,,,,,,Pendidikan Lainnya,,,,,,,,,,,,,2024
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,2024
KAB ACEH TENGAH,0.0,0,0,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,-,0.0,0,0,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
MEULABOH,2.79,2.26,1.81,0.7,0.7,0.7,0.7,0.7,0.73,0.73,0.66,0.66,-,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.25,2.25,2.25,2.25,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,16.68,12.22,8.57,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0,0,-,2024.0
KAB ACEH TAMIANG,2.36,2.36,2.36,2.36,2.36,2.36,1.39,4.78,5.14,5.14,5.14,5.14,-,11.49,11.49,11.49,11.49,11.49,11.49,6.52,1.53,2.13,2.13,2.13,2.13,-,0.0,0,0,0,0,0,0,0,1.07,1.07,1.07,1.07,-,0,0,0,0,0,0,0,7.81,7.81,7.81,7.81,7.81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
KOTA BANDA ACEH,0.32,0.35,0.35,0.35,0.35,0.35,0.35,0.58,0.58,0.58,0.58,0.58,-,1.44,1.44,1.44,1.44,1.44,1.44,1.44,2.42,2.42,2.42,2.42,2.42,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,-,2024.0
KOTA LHOKSEUMAWE,1.27,1.27,1.27,1.27,1.27,1.27,3.42,3.86,3.86,3.86,3.86,3.86,-,3.18,3.18,3.18,3.18,3.18,3.18,6.01,7.28,7.28,7.28,7.28,7.28,-,0.1,0.1,0.1,0.1,0.1,0.1,5.8,5.96,5.96,5.96,5.96,5.96,-,0,0,0,0,0,0,0,0,0,0,0,0,-,9.43,9.43,9.43,9.43,9.43,9.43,9.43,9.43,9.43,9.43,9.43,9.43,-,2024.0
KAB LABUHANBATU,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,-,1.9,1.9,1.9,1.9,1.9,1.9,0,0,0,0,0,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,2024.0
KAB KARO,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,2024.0
KAB DELI SERDANG,0.0,0,0,0,0,0,0,0.87,0.87,0.87,0.87,0.87,-,0.0,0,0,0,0,0,0,2.63,2.63,2.63,2.63,2.63,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,2024.0
KOTA SIBOLGA,3.25,3.25,3.25,3.25,3.25,3.25,3.25,2.82,2.82,2.82,2.82,2.82,-,1.48,1.48,1.48,1.48,1.48,1.48,1.48,9.84,9.84,9.84,9.84,9.84,-,3.26,3.26,3.26,3.26,3.26,3.26,3.26,-4.46,-4.46,-4.46,-4.46,-4.46,-,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.74,6.74,6.74,6.74,6.74,-,0,0,0,0,0,0,0,0,0,0,0,0,-,2024.0
KOTA PEMATANGSIANTAR,6.07,6.07,6.07,6.07,6.07,6.07,8.24,3.07,3.07,3.07,3.07,2.66,-,4.39,4.39,4.39,4.39,4.39,4.39,7.13,2.62,2.62,2.62,2.62,2.62,-,0.81,0.81,0.81,0.81,0.81,0.81,4.93,4.09,4.09,4.09,4.09,4.09,-,14.46,14.46,14.46,14.46,14.46,14.46,14.46,0,0,0,0,0,-,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,4.44,-,2024.0
KOTA MEDAN,1.82,1.82,1.82,1.82,1.82,1.82,1.82,2.37,0.87,0.87,0.87,0.87,-,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.82,1.82,1.82,1.82,1.82,-,0.52,0.52,0.52,0.52,0.52,0.52,0.52,1.09,1.09,1.09,1.09,1.09,-,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,2024.0
KOTA PADANGSIDIMPUAN,1.49,1.49,1.49,1.49,1.49,1.49,1.49,2.23,2.23,2.23,2.23,2.23,-,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.44,0.44,0.44,0.44,0.44,-,4.55,4.55,4.55,4.55,4.55,4.55,4.55,6.42,6.42,6.42,6.42,6.42,-,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,2024.0
KOTA GUNUNGSITOLI,1.76,1.76,1.76,1.76,1.76,1.76,2.1,1.01,10.26,10.26,10.26,10.26,-,3.99,3.99,3.99,3.99,3.99,3.99,5.84,5.56,7.93,7.93,7.93,7.93,-,1.35,1.35,1.35,1.35,1.35,1.35,1.35,0,11.94,11.94,11.94,11.94,-,1.49,1.49,1.49,1.49,1.49,1.49,1.49,0,12.52,12.52,12.52,12.52,-,0,0,0,0,0,0,0,0,0,0,0,0,-,2024.0
KAB DHARMASRAYA,0.38,0.38,0.38,0.38,0.38,0.38,1.46,1.46,1.46,1.46,1.46,1.46,-,1.71,1.71,1.71,1.71,1.71,1.71,6.05,6.05,6.05,6.05,6.05,6.05,-,0.0,0,0,0,0,0,0.4,0.4,0.4,0.4,0.4,0.4,-,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,2024.0
KAB PASAMAN BARAT,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.42,1.54,1.54,1.54,1.53,-,0.0,0,0,0,0,0,0.1,2.2,2.2,2.2,2.2,2.2,-,0.0,0,0,0,0,0,0,0.06,0.06,0.06,0.06,0.06,-,0,0,0,0,0,0,0,0,2.91,2.91,2.91,2.91,-,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,-,2024.0
KOTA PADANG,2.05,2.05,2.05,2.05,2.05,2.05,1.48,1.19,1.19,1.82,1.82,1.82,-,5.75,5.75,5.75,5.75,5.75,5.75,2.52,2.52,2.52,2.52,2.52,2.52,-,3.61,3.61,3.61,3.61,3.61,3.61,3.3,3.3,3.3,3.3,3.3,3.3,-,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0,0,1.36,1.36,1.36,-,0.44,0.44,0.44,0.44,0.44,0.44,0.69,0.69,0.69,0.69,0.69,0.69,-,2024.0
KOTA BUKITTINGGI,4.4,4.4,4.4,4.4,4.4,4.4,4.44,4.58,1.35,1.49,1.49,1.49,-,8.06,8.06,8.06,8.06,8.06,8.06,6.22,6.22,1.56,1.56,1.56,1.56,-,0.0,0,0,0,0,0,0.89,1.74,1.74,1.74,1.74,1.74,-,7.46,7.46,7.46,7.46,7.46,7.46,7.46,7.46,0,0.63,0.63,0.63,-,0.25,0.25,0.25,0.25,0.25,0.25,2,2,2,2,2,2,-,2024.0
